customer_id,first_name,last_name,email,join_date,region
1,Michael,Miller,invalid_email,16/12/2020,North
2,Julia,Miller,user2@example.com,26/03/2021,East
3,Ewa,Kowalski,robert3@mail.com,10/01/2020,
4,Kasia,Garcia,user4@example.com,,
5,John,Smith,invalid_email,,East
6,Julia,Nowak,julia6@mail.com,,
7,Tom,Miller,invalid_email,2023-11-27,
8,Anna,Taylor,user8@example.com,2021-03-17,South
9,Michael,Brown,user9@example.com,,East
10,Robert,Lee,invalid_email,31/05/2023,
11,Julia,Lee,user11@example.com,03/11/2022,East
12,Michael,Lee,,2020-06-08,North
13,Ewa,Davis,invalid_email,2023-06-20,South
14,Robert,Smith,invalid_email,,West
15,Tom,Brown,invalid_email,,South
16,Robert,Smith,invalid_email,11/11/2023,North
17,Ewa,Smith,,22/11/2020,South
18,Kasia,Wilson,user18@example.com,28/04/2023,East
19,John,Smith,user19@example.com,26/07/2020,West
20,Julia,Smith,,,
21,Adam,Kowalski,invalid_email,2020-02-01,
22,Robert,Lee,invalid_email,09/10/2020,East
23,Michael,Brown,user23@example.com,,East
24,Kasia,Garcia,kasia24@mail.com,2022-02-24,West
25,Anna,Garcia,user25@example.com,,
26,Michael,Miller,,13/08/2020,South
27,John,Garcia,,18/02/2022,
28,John,Lee,invalid_email,21/03/2023,East
29,Kasia,Miller,,2021-06-30,East
30,Michael,Nowak,,18/09/2020,
31,Julia,Garcia,,2022-12-29,South
32,Kasia,Davis,user32@example.com,2022-10-11,
33,Anna,Taylor,invalid_email,,
34,Robert,Taylor,,21/05/2021,
35,Ewa,Kowalski,tom35@mail.com,2023-07-06,West
36,Julia,Kowalski,invalid_email,22/10/2021,West
37,Ewa,Taylor,invalid_email,,East
38,Michael,Lee,user38@example.com,2020-02-03,West
39,Robert,Lee,invalid_email,,South
40,Michael,Taylor,,,West
41,John,Garcia,john41@mail.com,2023-12-07,
42,Adam,Davis,maria42@mail.com,,
43,Robert,Wilson,invalid_email,,West
44,John,Brown,user44@example.com,2021-09-06,
45,Robert,Lee,invalid_email,05/03/2022,South
46,Robert,Smith,,07/06/2022,North
47,Kasia,Brown,adam47@mail.com,2020-04-01,South
48,Maria,Smith,invalid_email,,East
49,Kasia,Garcia,user49@example.com,,East
50,Kasia,Davis,user50@example.com,,South
51,Julia,Miller,john51@mail.com,,East
52,Julia,Taylor,,13/07/2023,North
53,Maria,Smith,invalid_email,09/01/2024,East
54,Ewa,Wilson,invalid_email,07/12/2020,East
55,John,Miller,,21/12/2023,East
56,Robert,Nowak,invalid_email,2021-02-14,West
57,Anna,Smith,invalid_email,2023-11-15,
58,Michael,Smith,,,
59,Ewa,Wilson,user59@example.com,10/11/2022,East
60,Ewa,Garcia,user60@example.com,,West
61,Julia,Kowalski,,,
62,Adam,Wilson,invalid_email,2021-12-27,South
63,Julia,Garcia,user63@example.com,2023-01-07,North
64,Maria,Lee,invalid_email,,East
65,Tom,Nowak,,2023-07-09,East
66,Kasia,Garcia,,2020-03-20,
67,Julia,Taylor,user67@example.com,,South
68,Julia,Lee,user68@example.com,2022-08-22,South
69,Michael,Nowak,invalid_email,,South
70,Tom,Davis,anna70@mail.com,2021-08-22,West
71,Kasia,Davis,user71@example.com,,
72,Robert,Garcia,user72@example.com,2021-09-07,North
73,Kasia,Taylor,,10/05/2021,West
74,Maria,Nowak,user74@example.com,11/02/2023,North
75,Tom,Brown,invalid_email,08/08/2023,North
76,Robert,Brown,julia76@mail.com,13/03/2022,West
77,Tom,Miller,,,East
78,Robert,Garcia,,20/05/2021,North
79,Julia,Smith,user79@example.com,,South
80,John,Garcia,invalid_email,,West
81,Ewa,Miller,invalid_email,,North
82,Robert,Lee,invalid_email,,
83,Anna,Kowalski,invalid_email,2024-01-20,East
84,Maria,Smith,,,
85,Robert,Taylor,user85@example.com,,
86,Kasia,Nowak,user86@example.com,2021-10-02,West
87,John,Lee,,17/05/2022,
88,Adam,Smith,,2022-07-03,
89,Michael,Smith,user89@example.com,,
90,Anna,Brown,invalid_email,14/10/2020,West
91,Robert,Kowalski,invalid_email,15/01/2023,
92,Tom,Wilson,,,South
93,Ewa,Garcia,robert93@mail.com,14/04/2020,South
94,Ewa,Wilson,user94@example.com,,
95,Adam,Miller,tom95@mail.com,27/10/2022,
96,Adam,Miller,,,East
97,Adam,Lee,invalid_email,2021-05-16,East
98,John,Nowak,invalid_email,,West
99,Ewa,Brown,michael99@mail.com,2023-11-24,South
100,Tom,Taylor,user100@example.com,2022-10-10,East
101,Anna,Garcia,,01/05/2021,
102,Robert,Nowak,user102@example.com,2022-10-29,North
103,Tom,Lee,invalid_email,2024-01-21,West
104,Tom,Nowak,invalid_email,,East
105,Adam,Kowalski,,,
106,John,Taylor,user106@example.com,2021-01-03,East
107,Anna,Kowalski,,28/11/2020,
108,Anna,Lee,,2021-01-29,
109,Kasia,Davis,,,North
110,Julia,Wilson,user110@example.com,2020-12-29,West
111,Maria,Garcia,invalid_email,2024-01-24,West
112,Kasia,Nowak,user112@example.com,08/06/2022,East
113,Michael,Brown,invalid_email,2022-04-19,
114,Michael,Taylor,,,West
115,Ewa,Nowak,user115@example.com,30/03/2023,East
116,John,Garcia,user116@example.com,2021-05-18,East
117,Michael,Kowalski,adam117@mail.com,,West
118,Michael,Miller,,,East
119,Tom,Smith,,28/06/2020,
120,Robert,Miller,user120@example.com,11/04/2021,North
121,Anna,Smith,invalid_email,2022-09-11,West
122,Ewa,Brown,,,South
123,Robert,Kowalski,user123@example.com,2021-11-07,
124,Julia,Garcia,invalid_email,2020-11-17,North
125,Robert,Wilson,invalid_email,,South
126,Ewa,Nowak,julia126@mail.com,27/10/2022,
127,Robert,Smith,adam127@mail.com,10/07/2023,
128,Kasia,Smith,invalid_email,31/05/2021,South
129,Julia,Wilson,user129@example.com,09/10/2023,East
130,Ewa,Lee,,30/05/2022,
131,Kasia,Wilson,user131@example.com,,East
132,John,Wilson,,17/02/2021,South
133,Julia,Taylor,robert133@mail.com,,South
134,Robert,Wilson,,,West
135,Julia,Davis,tom135@mail.com,18/08/2020,
136,Michael,Nowak,user136@example.com,2020-03-19,East
137,John,Brown,adam137@mail.com,02/01/2021,South
138,Kasia,Kowalski,,,
139,Maria,Miller,invalid_email,2023-03-26,
140,Robert,Taylor,user140@example.com,,South
141,Robert,Lee,john141@mail.com,,West
142,Anna,Garcia,user142@example.com,22/09/2023,East
143,Ewa,Lee,robert143@mail.com,27/06/2020,East
144,Ewa,Nowak,user144@example.com,2022-02-18,
145,Michael,Wilson,,,East
146,Julia,Brown,julia146@mail.com,2023-04-04,North
147,Julia,Miller,,,South
148,Robert,Davis,,08/05/2020,
149,John,Wilson,,2020-07-06,North
150,Anna,Davis,invalid_email,2021-08-24,
